"","CountyID","County","Arid","SemiArid"
"1",6,"Nyeri",0,0
"56",8,"Kwale",0,0
"111",9,"Lamu",0,0
"166",11,"Taita Taveta",0,0
"221",12,"Tana River",0,0
"276",13,"Isiolo",0,0
"331",14,"Kitui",0,0
"386",16,"Makueni",0,0
"441",17,"Mwingi",0,0
"496",19,"Garissa",0,0
"551",20,"Ijara",0,0
"606",21,"Mandera",0,0
"661",22,"Wajir",0,0
"716",33,"Baringo",0,0
"771",36,"Kajiado  ",0,0
"826",40,"Laikipia",0,0
"881",43,"Narok",0,0
"936",44,"Samburu",0,0
"991",47,"Turkana",0,0
"1046",49,"West Pokot",0,0
"1101",61,"Marsabit",0,0
"1156",62,"Meru-North",0,0
"1211",63,"Embu",0,0
"1266",64,"Kilifi",0,0
"1321",65,"Tharaka-Nithi",0,0
