"","ID","county"
"1-2000","1","Kiambu"
"2-2000","2","Kirinyaga"
"4-2000","4","Muranga'a"
"4-2002","4","Murang'a"
"5-2000","5","Nyandarua"
"6-2000","6","Nyeri"
"18-2000","18","Nairobi"
"24-2000","24","Homa Bay"
"25-2000","25","Kisumu"
"27-2000","27","Migori"
"28-2000","28","Nyamira"
"31-2000","31","Siaya"
"33-2000","33","Baringo"
"34-2000","34","Bomet"
"36-2000","36","Kajiado"
"38-2000","38","Kericho"
"40-2000","40","Laikipia"
"41-2000","41","Elgeyo Marakwet"
"42-2000","42","Nakuru"
"43-2000","43","Narok"
"44-2000","44","Samburu"
"46-2000","46","Trans Nzoia"
"47-2000","47","Turkana"
"48-2000","48","Uasin Gishu"
"49-2000","49","West Pokot"
"52-2000","52","Bungoma"
"53-2000","53","Busia"
"55-2000","55","Kakamega"
"59-2000","59","Vihiga"
"60-2000","60","Kisii"
"80-2000","80","Nandi"
