code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
51338;4609.1;4411.6;4369.9;5063.3;-999;4579;4371.8;4985.2;-999;-999;4416.3;5295.4;-999;-999;-999;4913;5315.5;-999;-999;5245.7;4788.7;5651.8;-999;5417.5;4974.6;5383.8;5466;-999;5717;4066.6;4139.3;4075.3;-999;4531.2
51340;5069.3;4021.9;-999;-999;5130;4158.9;4634;-999;-999;5253;4771.3;5307.2;-999;-999;4876;4387.8;5451.1;-999;-999;3799.8;4672.6;5438.1;-999;5194.1;5415.6;5355.9;5441.6;5440.5;5618.5;4815.6;4372.2;3888.8;5812.3;4889.3
51341;4882.9;4336.5;-999;-999;4880.4;4263;4843.2;-999;-999;5088.8;4419.9;5355.7;-999;-999;4595;3973.2;5498.6;-999;-999;4309.8;4915.5;5437.9;-999;4965.9;5428.6;5369;5429.9;5434.5;5086.8;4603.3;5051.3;-999;5578.8;4092.8
51342;4790.9;4086;4341.5;5018;5356.1;4250.1;4333.5;-999;-999;5432.8;4645.6;5395.5;-999;-999;5257.7;4740.8;5455.4;-999;-999;4624.9;4546.1;5544.8;-999;5184.5;5494.5;5309;5472.2;-999;5671.4;4965.3;4071.2;3777.9;5851.3;4066.5
51344;4875.7;4498.4;-999;-999;5072;4319.9;4853.8;-999;-999;5076.6;4206.4;5340.8;-999;-999;4387.4;3897.7;5497.7;-999;-999;4560.6;5012.1;-999;-999;4840;5432.1;5322.7;-999;5628.7;4793.4;4570.9;5396.5;-999;5729.2;4064.1
51345;4964.2;4082.6;-999;-999;5033.5;4250.4;4736.9;-999;-999;5143.8;4923;5268;-999;-999;4620.7;4396.9;5495.5;-999;-999;3590.6;4669.9;5461.6;-999;4789.6;5519.3;5238.6;5422.5;5613.4;5445.5;5179.6;4385.6;3865.2;5753.1;4453.2
51346;4779.4;4234.8;4337.5;5353.6;5312.4;4354.3;4370;4855.9;-999;5315.6;4584.6;5304.6;-999;-999;5297.3;4702.1;5345.5;-999;-999;4934.6;4526.7;5511.5;-999;5558.4;5307.6;5316.5;5486.1;-999;5769.6;4728;4073;3915.9;5968.9;4082.8
51347;4618.4;4384;4375.5;-999;-999;4548.9;4329.9;5042.3;-999;-999;4409.6;5316.5;-999;-999;-999;4973.2;5363;-999;-999;5390.3;4857.2;5679.5;-999;5250.7;4895.3;5380.1;5452.3;-999;5697.5;4030;4209.5;4175.8;-999;4861.7
51348;4778.8;4953;4598.5;-999;-999;4557.8;4422.6;5074.6;-999;-999;4606.5;5042.6;5410.5;-999;-999;4795.5;4979.1;5473.9;-999;5395.9;4957;5269.2;-999;5619.8;5215.8;5312.5;5492.2;-999;5592.4;3396.7;4119.5;4803.3;-999;1940.8
51349;4753.3;4151.1;4383;5416;5445.7;4285.8;4435.4;4889.4;-999;5282.7;4587.9;5352.5;-999;-999;5340;4833.3;5349.5;-999;-999;4839.1;4616.6;5503.5;-999;5441.3;5560.5;5314.8;5499.9;-999;5787.3;4551.6;4353.8;3792.3;5885.7;4241.8
51351;4790.3;4115;4493.6;5486.5;5431;4266.2;4499.7;-999;-999;5269;4703.3;5422;-999;-999;5210.8;4692.3;5443.3;-999;-999;3962.3;4477.8;5481.4;-999;5579.6;5601;5276;5491.9;-999;5782.9;5056.3;4144.6;3743.9;5838.4;3773.7
51352;5145.8;4722.4;4429.6;-999;-999;4986.3;4354.7;4965.5;-999;-999;4951.7;4830.6;5369.6;-999;-999;4541.4;4256.1;5518.6;-999;5669.9;4398.1;4938.8;5444.7;-999;4929.9;5356.5;5450.7;5144.8;5622;4771;4637;4165.6;3523.4;3820.7
51354;4637.1;4569.8;4506;-999;-999;4437.4;4486.7;4998.8;-999;-999;4518.9;5263.7;-999;-999;-999;4968;5146.9;-999;-999;5161.7;4916.1;5522.7;-999;5070.9;4915;5187.6;5552;-999;5585.5;3998.2;4234.7;4423.2;-999;2642.1
51359;4655.9;4366;4450.1;-999;-999;4556.8;4371.1;4962.5;-999;-999;4411.8;5381;-999;-999;-999;4932.8;5285.5;-999;-999;5503.4;4861.3;5613.2;-999;5205.6;4951;5389.5;5461;-999;5568.1;4044.5;4174.6;4162.4;-999;3840.4
51361;4644.4;4361;4391.2;5016.2;-999;4336.7;4455.7;4923.7;-999;-999;4518.9;5319.8;5296;-999;5501.5;4942;5211.4;-999;-999;5433.7;4777.9;5507.3;-999;5214.8;5095.9;5418.1;5502.1;-999;5644.4;4128.8;4110.7;4140.1;5805;3677.9
51363;5297.1;4666.7;4251.5;-999;-999;5108.8;4318.3;4999.2;-999;-999;5211.2;4907.6;5394.1;-999;-999;4522.9;4221.5;5518.9;-999;5781.2;4162.9;4891.2;5423.4;-999;4882.2;5066;5387.7;5418.4;5803.7;5171.7;4661.3;4131.1;3318.5;5123.8
51364;4959.5;4787.3;4563.3;-999;-999;4822.1;4370.9;4987.4;-999;-999;4805.3;4951.5;5372.6;-999;-999;4611.6;4607;5494.9;-999;5670.7;4794.9;5111.8;5461;5598.5;5143.4;5514;5433.9;5430.8;5612.3;3887.6;4337.5;4758.2;-999;2161.3
51377;4710.7;4753.1;4671.1;-999;-999;4470;4451.1;4997.1;-999;-999;4608.8;5273.8;5328.5;-999;-999;4879.7;4992.3;-999;-999;5650.4;4952.7;5369.8;-999;4966.8;5119.7;5600.9;5541.3;-999;5515.4;3832.7;4316;4805.7;-999;1833.2
51380;4862;4068.2;4298.4;5531.6;5387.8;4259.9;4565.2;-999;-999;5280.4;4613;5386.1;-999;-999;5276.7;4630.9;5403.3;-999;-999;4146.6;4498.4;5459.4;-999;5535.3;5606.4;5318.8;5453.2;-999;5814;4928.5;4239;3820;5914.2;3499.4
51384;4665.8;4625.3;4570.5;-999;-999;4382.9;4561.9;4941.5;-999;-999;4637.5;5288.8;5379.2;-999;-999;4938.7;5052.6;-999;-999;5340.7;4813.8;5451.5;-999;5442;5069.5;5467;5602;-999;5812.5;4077.5;4255;4681.9;-999;2205
51388;4687.8;4277.1;4352.6;5388.1;-999;4206;4388.9;4872.1;-999;-999;4614.7;5339.2;-999;-999;5503.8;4892.6;5312.5;-999;-999;4528.9;4605.3;5533;-999;5671.4;5772.9;5264.6;5499.1;-999;5740.3;4204.3;4031.9;4157.4;5998.9;4654.1
51389;4783.3;4849.3;4555.5;-999;-999;4597.2;4397.1;4994.5;-999;-999;4569.5;5063.1;5340.6;-999;-999;4746.4;4812.2;-999;-999;5623.5;4950.2;5219.9;5570.7;4712.8;5349.8;5497.8;5515.2;-999;5350.2;3485.7;4280.5;4582.3;-999;1988.4
51392;5087.1;4699.6;4401.7;-999;-999;4975.4;4340.3;4987.7;-999;-999;4951.7;4810;5389.9;-999;-999;4530.2;4322;5518.8;-999;5680;4375.7;4921.2;5420.8;-999;5017.8;5510.6;5443.3;5362.2;5596.4;4793.9;4660.4;4110.5;3441.3;4108.8
51394;4783.8;5070.4;4732.5;-999;-999;4734.9;4312.5;5099.2;-999;-999;4581.5;4873.9;5380.3;-999;-999;4661.3;4823.2;5541.8;-999;5518.4;4870.8;5159.3;5413.4;-999;5297.9;5541.1;5539.1;-999;5306.2;3293.9;4309.3;5043.4;-999;1702.3
